"ordre","reference","intitule","bareme","phase_evaluation_reference","unite_apprentissage_reference"
"1","DWB-2.2.2-utilise-les-proprietes-flexbox-pour-aligner-des-elements-horizontalement-ou-verticalement","Utilise les propriétés Flexbox pour aligner des éléments horizontalement ou verticalement.","2","N2","DWB-2.2.2"
"2","DWB-2.2.2-concoit-une-mise-en-page-complete-en-utilisant-flexbox-ou-grid","Conçoit une mise en page complète en utilisant Flexbox ou Grid.","2","N2","DWB-2.2.2"
"3","DWB-2.2.2-realise-un-layout-complexe-et-responsive-combinant-flexbox-et-grid","Réalise un layout complexe et responsive combinant Flexbox et Grid.","2","N3","DWB-2.2.2"
"1","DWB-2.2.3-sait-definir-et-utiliser-des-variables-css-simples","Sait définir et utiliser des variables CSS simples.","2","N2","DWB-2.2.3"
"2","DWB-2.2.3-met-en-place-des-media-queries-pour-adapter-un-design-mobile-desktop","Met en place des Media Queries pour adapter un design mobile/desktop.","2","N2","DWB-2.2.3"
"3","DWB-2.2.3-cree-un-design-entierement-responsive-avec-variables-et-breakpoints-pertinents","Crée un design entièrement responsive avec variables et breakpoints pertinents.","2","N3","DWB-2.2.3"
"1","DWB-2.2.4-applique-une-transition-simple-sur-un-element-au-survol","Applique une transition simple sur un élément au survol.","2","N2","DWB-2.2.4"
"2","DWB-2.2.4-cree-une-animation-cle-en-main-keyframes","Crée une animation clé-en-main (keyframes).","2","N2","DWB-2.2.4"
"3","DWB-2.2.4-integre-des-animations-fluides-et-coherentes-dans-un-mini-design","Intègre des animations fluides et cohérentes dans un mini-design.","2","N3","DWB-2.2.4"
"1","DWB-2.2.5-connait-les-principes-de-base-des-preprocesseurs-et-des-frameworks-css","Connaît les principes de base des préprocesseurs et des frameworks CSS.","2","N2","DWB-2.2.5"
"2","DWB-2.2.5-utilise-bootstrap-pour-styliser-des-composants-simples-boutons-formulaires","Utilise Bootstrap pour styliser des composants simples (boutons, formulaires).","2","N2","DWB-2.2.5"
"3","DWB-2.2.5-concoit-une-page-complete-en-combinant-bootstrap-et-des-styles-personnalises","Conçoit une page complète en combinant Bootstrap et des styles personnalisés.","2","N3","DWB-2.2.5"
"1","DWB-3.1.1-declare-des-variables-et-utilise-des-operateurs-simples","Déclare des variables et utilise des opérateurs simples (`+`, `-`, `*`, `/`).","2","N2","DWB-3.1.1"
"2","DWB-3.1.1-cree-des-fonctions-simples-avec-parametres-et-retour-de-valeurs","Crée des fonctions simples avec paramètres et retour de valeurs.","2","N2","DWB-3.1.1"
"3","DWB-3.1.1-ecrit-un-script-autonome-combinant-variables-fonctions-et-operations","Écrit un script autonome combinant variables, fonctions et opérations.","2","N3","DWB-3.1.1"
"1","DWB-3.1.2-utilise-des-structures-conditionnelles-if-else-pour-executer-des-choix-simples","Utilise des structures conditionnelles (`if`, `else`) pour exécuter des choix simples.","2","N2","DWB-3.1.2"
"2","DWB-3.1.2-implemente-des-boucles-for-while-pour-parcourir-des-donnees","Implémente des boucles (`for`, `while`) pour parcourir des données.","2","N2","DWB-3.1.2"
"3","DWB-3.1.2-concoit-un-algorithme-combinant-conditions-et-boucles-pour-resoudre-un-probleme-donne","Conçoit un algorithme combinant conditions et boucles pour résoudre un problème donné.","2","N3","DWB-3.1.2"
"1","DWB-3.1.3-selectionne-et-modifie-des-elements-simples-dans-le-dom","Sélectionne et modifie des éléments simples dans le DOM.","2","N2","DWB-3.1.3"
"2","DWB-3.1.3-modifie-les-attributs-et-classes-d-elements-de-maniere-dynamique","Modifie les attributs et classes d’éléments de manière dynamique.","2","N2","DWB-3.1.3"
"3","DWB-3.1.3-met-en-place-des-manipulations-complexes-sur-plusieurs-elements-listes-images","Met en place des manipulations complexes sur plusieurs éléments (listes, images, etc.).","2","N3","DWB-3.1.3"
"1","DWB-3.1.4-associe-des-evenements-simples-onclick-oninput","Associe des événements simples (`onclick`, `oninput`).","2","N2","DWB-3.1.4"
"2","DWB-3.1.4-gere-des-interactions-complexes-formulaires-validations","Gère des interactions complexes (formulaires, validations).","2","N2","DWB-3.1.4"
"3","DWB-3.1.4-developpe-une-mini-interface-interactive-reactive-aux-actions-utilisateur","Développe une mini-interface interactive réactive aux actions utilisateur.","2","N3","DWB-3.1.4"
"1","DWB-3.2.1-comprend-la-syntaxe-de-fetch-et-peut-recuperer-des-donnees","Comprend la syntaxe de `fetch()` et peut récupérer des données.","2","N2","DWB-3.2.1"
"2","DWB-3.2.1-traite-des-donnees-json-et-les-affiche-dans-le-dom","Traite des données JSON et les affiche dans le DOM.","2","N2","DWB-3.2.1"
"3","DWB-3.2.1-integre-les-donnees-d-une-api-dans-une-interface-dynamique","Intègre les données d’une API dans une interface dynamique.","2","N3","DWB-3.2.1"
"1","DWB-3.2.2-affiche-des-donnees-simples-dans-le-dom-via-des-boucles","Affiche des données simples dans le DOM via des boucles.","2","N2","DWB-3.2.2"
"2","DWB-3.2.2-met-en-place-un-affichage-conditionnel-base-sur-les-donnees","Met en place un affichage conditionnel basé sur les données.","2","N2","DWB-3.2.2"
"3","DWB-3.2.2-genere-dynamiquement-une-liste-ou-un-tableau-complet-depuis-des-objets-js","Génère dynamiquement une liste ou un tableau complet depuis des objets JS.","2","N3","DWB-3.2.2"
"1","DWB-3.2.3-comprend-la-portee-des-variables-et-utilise-des-fonctions-imbriquees","Comprend la portée des variables et utilise des fonctions imbriquées.","2","N2","DWB-3.2.3"
"2","DWB-3.2.3-utilise-des-callbacks-et-des-fonctions-flechees","Utilise des callbacks et des fonctions fléchées.","2","N2","DWB-3.2.3"
"3","DWB-3.2.3-structure-le-code-en-modules-reutilisables-avec-une-syntaxe-es6-propre","Structure le code en modules réutilisables avec une syntaxe ES6 propre.","2","N3","DWB-3.2.3"
"1","DWB-3.2.4-manipule-des-objets-et-tableaux-simples-push-pop-map","Manipule des objets et tableaux simples (`push`, `pop`, `map`).","2","N2","DWB-3.2.4"
"2","DWB-3.2.4-accede-a-des-proprietes-imbriquees-et-gere-des-tableaux-complexes","Accède à des propriétés imbriquées et gère des tableaux complexes.","2","N2","DWB-3.2.4"
"3","DWB-3.2.4-cree-une-interface-qui-se-met-a-jour-dynamiquement-selon-l-etat-ex-liste-filtrée","Crée une interface qui se met à jour dynamiquement selon l’état (ex. liste filtrée).","2","N3","DWB-3.2.4"
"1","DWB-4.1.1-installe-correctement-wordpress-en-local-via-un-environnement-xampp-wamp","Installe correctement WordPress en local via un environnement (XAMPP/WAMP).","2","N2","DWB-4.1.1"
"2","DWB-4.1.1-configure-les-parametres-de-base-titre-du-site-permaliens-et-cree-plusieurs-pages-avec-un-menu-fonctionnel","Configure les paramètres de base (titre du site, permaliens) et crée plusieurs pages avec un menu fonctionnel.","2","N2","DWB-4.1.1"
"3","DWB-4.1.1-structure-un-mini-site-wordpress-complet-pages-menu-liens-internes-pret-a-etre-navigue","Structure un mini-site WordPress complet (pages, menu, liens internes) prêt à être navigué.","2","N3","DWB-4.1.1"
"1","DWB-4.1.2-applique-un-theme-par-defaut-et-modifie-les-reglages-simples-couleurs-logo","Applique un thème par défaut et modifie les réglages simples (couleurs, logo).","2","N2","DWB-4.1.2"
"2","DWB-4.1.2-installe-et-configure-un-theme-externe-ainsi-qu-au-moins-un-plugin-simple","Installe et configure un thème externe ainsi qu’au moins un plugin simple.","2","N2","DWB-4.1.2"
"3","DWB-4.1.2-personnalise-finement-l-apparence-widgets-menus-personnalises-et-optimise-l-usage-des-plugins-pour-ajouter-des-fonctionnalites","Personnalise finement l’apparence (widgets, menus personnalisés) et optimise l’usage des plugins pour ajouter des fonctionnalités.","2","N3","DWB-4.1.2"
"1","DWB-5.1.1-identifie-les-entites-principales-et-leurs-relations-dans-un-contexte-donne","Identifie les entités principales et leurs relations dans un contexte donné.","2","N2","DWB-5.1.1"
"2","DWB-5.1.1-produit-un-mcd-modele-conceptuel-de-donnees-et-un-mld-modele-logique-de-donnees-corrects-et-coherents","Produit un MCD (Modèle Conceptuel de Données) et un MLD (Modèle Logique de Données) corrects et cohérents.","2","N2","DWB-5.1.1"
"3","DWB-5.1.1-concoit-un-schema-relationnel-complet-optimise-et-pret-pour-la-mise-en-oeuvre-sql","Conçoit un schéma relationnel complet, optimisé et prêt pour la mise en œuvre SQL.","2","N3","DWB-5.1.1"
"1","DWB-5.1.2-cree-des-tables-simples-avec-types-de-donnees-appropries","Crée des tables simples avec types de données appropriés.","2","N2","DWB-5.1.2"
"2","DWB-5.1.2-ajoute-des-contraintes-primary-key-foreign-key-unique-et-relations-entre-les-tables","Ajoute des contraintes (PRIMARY KEY, FOREIGN KEY, UNIQUE) et relations entre les tables.","2","N2","DWB-5.1.2"
"3","DWB-5.1.2-elabore-un-script-sql-complet-et-conforme-aux-bonnes-pratiques-de-structuration-normalisation-coherence","Élabore un script SQL complet et conforme aux bonnes pratiques de structuration (normalisation, cohérence).","2","N3","DWB-5.1.2"
"1","DWB-5.2.1-execute-des-requetes-simples-avec-select-et-conditions-where","Exécute des requêtes simples avec `SELECT` et conditions `WHERE`.","2","N2","DWB-5.2.1"
"2","DWB-5.2.1-utilise-order-by-fonctions-d-agregation-count-sum-et-group-by","Utilise `ORDER BY`, fonctions d’agrégation (`COUNT`, `SUM`) et `GROUP BY`.","2","N2","DWB-5.2.1"
"3","DWB-5.2.1-construit-des-requetes-incluant-des-jointures-simples-pour-extraire-des-donnees-multi-tables","Construit des requêtes incluant des jointures simples pour extraire des données multi-tables.","2","N3","DWB-5.2.1"
"1","DWB-5.2.2-insere-des-donnees-avec-insert-into","Insère des données avec `INSERT INTO`.","2","N2","DWB-5.2.2"
"2","DWB-5.2.2-modifie-et-supprime-des-donnees-avec-update-et-delete","Modifie et supprime des données avec `UPDATE` et `DELETE`.","2","N2","DWB-5.2.2"
"3","DWB-5.2.2-cree-des-scripts-combinant-plusieurs-requetes-avec-transactions-simples-et-respect-des-bonnes-pratiques","Crée des scripts combinant plusieurs requêtes avec transactions simples et respect des bonnes pratiques.","2","N3","DWB-5.2.2"
"1","DWB-6.1.1-etablit-une-connexion-simple-a-une-base-de-donnees-avec-pdo","Établit une connexion simple à une base de données avec PDO.","2","N2","DWB-6.1.1"
"2","DWB-6.1.1-execute-une-requete-select-et-recupere-les-resultats-sous-forme-de-tableau-ou-d-objets","Exécute une requête `SELECT` et récupère les résultats sous forme de tableau ou d’objets.","2","N2","DWB-6.1.1"
"3","DWB-6.1.1-met-en-place-une-connexion-robuste-avec-gestion-des-erreurs-et-affichage-formate-des-donnees","Met en place une connexion robuste avec gestion des erreurs et affichage formaté des données.","2","N3","DWB-6.1.1"
"1","DWB-6.1.2-insere-des-donnees-dans-une-table-avec-une-requete-simple-insert","Insère des données dans une table avec une requête simple `INSERT`.","2","N2","DWB-6.1.2"
"2","DWB-6.1.2-met-a-jour-et-supprime-des-enregistrements-update-delete-avec-controle-du-resultat","Met à jour et supprime des enregistrements (`UPDATE`, `DELETE`) avec contrôle du résultat.","2","N2","DWB-6.1.2"
"3","DWB-6.1.2-implemente-des-blocs-try-catch-pour-gerer-les-erreurs-d-execution-ex-connexions-invalides-requetes-echouees","Implémente des blocs `try/catch` pour gérer les erreurs d’exécution (ex. connexions invalides, requêtes échouées).","2","N3","DWB-6.1.2"
"1","DWB-6.1.3-construit-une-requete-preparee-avec-parametres-lies-pour-eviter-les-injections-sql","Construit une requête préparée avec paramètres liés pour éviter les injections SQL.","2","N2","DWB-6.1.3"
"2","DWB-6.1.3-securise-l-ensemble-des-requetes-de-lecture-et-d-ecriture-en-utilisant-pdo-de-maniere-systematique","Sécurise l’ensemble des requêtes de lecture et d’écriture en utilisant PDO de manière systématique.","2","N2","DWB-6.1.3"
"3","DWB-6.1.3-applique-les-bonnes-pratiques-de-securite-validation-cote-serveur-filtrage-des-entrees-encodage-des-donnees","Applique les bonnes pratiques de sécurité (validation côté serveur, filtrage des entrées, encodage des données).","2","N3","DWB-6.1.3"
"1","DWB-7.1.1-declare-des-variables-affecte-des-valeurs-et-utilise-des-conditions-simples","Déclare des variables, affecte des valeurs et utilise des conditions simples.","2","N2","DWB-7.1.1"
"2","DWB-7.1.1-maitrise-les-structures-conditionnelles-avancees-switch-et-les-boucles-pour-traiter-des-donnees-repetitives","Maîtrise les structures conditionnelles avancées (`switch`) et les boucles pour traiter des données répétitives.","2","N2","DWB-7.1.1"
"3","DWB-7.1.1-concoit-un-script-php-complet-utilisant-variables-conditions-et-boucles-de-maniere-organisee","Conçoit un script PHP complet utilisant variables, conditions et boucles de manière organisée.","2","N3","DWB-7.1.1"
"1","DWB-7.1.2-cree-et-manipule-des-tableaux-simples-indexes","Crée et manipule des tableaux simples (indexés).","2","N2","DWB-7.1.2"
"2","DWB-7.1.2-utilise-des-tableaux-associatifs-et-des-fonctions-personnalisees-avec-parametres","Utilise des tableaux associatifs et des fonctions personnalisées avec paramètres.","2","N2","DWB-7.1.2"
"3","DWB-7.1.2-developpe-un-script-structure-combinant-tableaux-fonctions-et-gestion-de-la-portee-des-variables-global-static","Développe un script structuré combinant tableaux, fonctions et gestion de la portée des variables (`global`, `static`).","2","N3","DWB-7.1.2"
"1","DWB-7.1.3-utilise-des-fonctions-de-base-pour-manipuler-des-chaines-strlen-substr-str-replace","Utilise des fonctions de base pour manipuler des chaînes (`strlen`, `substr`, `str_replace`).","2","N2","DWB-7.1.3"
"2","DWB-7.1.3-modularise-un-projet-en-incluant-des-fichiers-include-require","Modularise un projet en incluant des fichiers (`include`, `require`).","2","N2","DWB-7.1.3"
"3","DWB-7.1.3-cree-une-structure-de-projet-php-modulaire-et-fonctionnelle","Crée une structure de projet PHP modulaire et fonctionnelle.","2","N3","DWB-7.1.3"
"1","DWB-7.2.1-recupere-des-donnees-de-formulaires-via-get-ou-post","Récupère des données de formulaires via `$_GET` ou `$_POST`.","2","N2","DWB-7.2.1"
"2","DWB-7.2.1-valide-les-entrees-utilisateur-et-affiche-des-messages-d-erreur-conditionnels","Valide les entrées utilisateur et affiche des messages d’erreur conditionnels.","2","N2","DWB-7.2.1"
"3","DWB-7.2.1-met-en-place-un-formulaire-complet-avec-validation-cote-serveur-et-affichage-clair-des-erreurs","Met en place un formulaire complet avec validation côté serveur et affichage clair des erreurs.","2","N3","DWB-7.2.1"
"1","DWB-7.2.2-cree-et-demarre-une-session-php-simple","Crée et démarre une session PHP simple.","2","N2","DWB-7.2.2"
"2","DWB-7.2.2-manipule-les-cookies-creation-lecture-suppression","Manipule les cookies (création, lecture, suppression).","2","N2","DWB-7.2.2"
"3","DWB-7.2.2-gere-la-navigation-securisee-authentification-simple-verification-de-session","Gère la navigation sécurisée (authentification simple, vérification de session).","2","N3","DWB-7.2.2"
"1","DWB-7.3.1-cree-une-classe-simple-avec-des-proprietes-et-des-methodes-de-base","Crée une classe simple avec des propriétés et des méthodes de base.","2","N2","DWB-7.3.1"
"2","DWB-7.3.1-utilise-constructeurs-heritage-et-niveaux-de-visibilite-public-private-protected","Utilise constructeurs, héritage et niveaux de visibilité (`public`, `private`, `protected`).","2","N2","DWB-7.3.1"
"3","DWB-7.3.1-concoit-une-structure-orientee-objet-respectant-les-principes-d-encapsulation-et-de-reutilisabilite","Conçoit une structure orientée objet respectant les principes d’encapsulation et de réutilisabilité.","2","N3","DWB-7.3.1"
"1","DWB-7.3.2-utilise-un-objet-pour-representer-une-entite-et-afficher-des-donnees","Utilise un objet pour représenter une entité et afficher des données.","2","N2","DWB-7.3.2"
"2","DWB-7.3.2-met-en-place-des-methodes-pour-effectuer-des-operations-crud","Met en place des méthodes pour effectuer des opérations CRUD.","2","N2","DWB-7.3.2"
"3","DWB-7.3.2-cree-un-mini-systeme-crud-complet-utilisant-poo-et-pdo-de-maniere-securisee","Crée un mini-système CRUD complet utilisant POO et PDO de manière sécurisée.","2","N3","DWB-7.3.2"
"1","DWB-8.1.1-identifie-la-structure-d-un-projet-react-dossiers-fichiers-principaux","Identifie la structure d’un projet React (dossiers, fichiers principaux).","2","N2","DWB-8.1.1"
"2","DWB-8.1.1-cree-un-composant-fonctionnel-avec-jsx-et-affiche-du-contenu-statique","Crée un composant fonctionnel avec JSX et affiche du contenu statique.","2","N2","DWB-8.1.1"
"3","DWB-8.1.1-utilise-les-props-pour-transmettre-des-donnees-entre-composants-et-les-affiche-dynamiquement","Utilise les `props` pour transmettre des données entre composants et les affiche dynamiquement.","2","N3","DWB-8.1.1"
"1","DWB-8.1.2-met-en-place-un-etat-local-avec-usestate-pour-gerer-une-donnee-simple-compteur-texte","Met en place un état local avec `useState` pour gérer une donnée simple (compteur, texte).","2","N2","DWB-8.1.2"
"2","DWB-8.1.2-gere-des-evenements-utilisateur-onclick-onchange-pour-mettre-a-jour-l-etat","Gère des événements utilisateur (`onClick`, `onChange`) pour mettre à jour l’état.","2","N2","DWB-8.1.2"
"3","DWB-8.1.2-implemente-une-navigation-basique-entre-deux-ou-trois-vues-en-utilisant-react-router-dom","Implémente une navigation basique entre deux ou trois vues en utilisant `react-router-dom`.","2","N3","DWB-8.1.2"
"1","DWB-T.1.1-explique-les-principes-de-la-pedagogie-active-et-leur-importance","Explique les principes de la pédagogie active et leur importance.","2","N2","DWB-T.1.1"
"2","DWB-T.1.1-decrit-les-niveaux-et-activites-de-la-demarche-solicode","Décrit les niveaux et activités de la démarche Solicode.","2","N2","DWB-T.1.1"
"3","DWB-T.1.1-analyse-le-programme-de-formation-et-propose-un-exemple-devaluation","Analyse le programme de formation et propose un exemple d’évaluation alignée.","2","N3","DWB-T.1.1"
"1","DWB-T.2.1-identifie-les-roles-et-responsabilites-dans-une-equipe-projet","Identifie les rôles et responsabilités dans une équipe projet.","2","N2","DWB-T.2.1"
"2","DWB-T.2.1-applique-une-communication-assertive-et-donne-un-feedback-constructif","Applique une communication assertive et donne un feedback constructif.","2","N2","DWB-T.2.1"
"3","DWB-T.2.1-simule-une-collaboration-agile-avec-outils-numeriques","Simule une collaboration agile avec outils numériques (Kanban, Trello, etc.).","2","N3","DWB-T.2.1"
"1","DWB-T.3.1-initie-un-depot-local-avec-git","Initie un dépôt local avec Git.","2","N2","DWB-T.3.1"
"2","DWB-T.3.1-publie-un-projet-sur-github-et-partage-un-lien","Publie un projet sur GitHub et partage un lien valide.","2","N2","DWB-T.3.1"
"3","DWB-T.3.1-met-en-place-un-flux-de-travail-de-base-push-pull-et-validation","Met en place un flux de travail de base (push, pull, validation) avec Git.","2","N3","DWB-T.3.1"
"1","DWB-T.3.2-clone-un-projet-et-ignore-les-fichiers-appropries","Clone un projet et ignore les fichiers appropriés via `.gitignore`.","2","N2","DWB-T.3.2"
"2","DWB-T.3.2-utilise-github-desktop-et-cree-des-issues","Utilise GitHub Desktop et crée des issues pour suivre les tâches.","2","N2","DWB-T.3.2"
"3","DWB-T.3.2-gere-un-projet-collaboratif-avec-organisation-des-taches-et-suivi","Gère un projet collaboratif avec organisation des tâches et suivi des issues.","2","N3","DWB-T.3.2"
"1","DWB-T.3.3-cree-des-branches-et-effectue-des-merges-simples","Crée des branches et effectue des merges simples.","2","N2","DWB-T.3.3"
"2","DWB-T.3.3-publie-les-modifications-et-resout-des-conflits-de-base","Publie les modifications (push/pull) et résout des conflits de base.","2","N2","DWB-T.3.3"
"3","DWB-T.3.3-maintient-un-historique-collaboratif-clair-et-organise","Maintient un historique collaboratif clair et organisé (commits, messages).","2","N3","DWB-T.3.3"
"1","DMB-1.1.1-imite-persona-problem-metrics","Reproduit une fiche persona + problem statement et 2–3 métriques SMART d’après un modèle.","2","N2","DMB-1.1.U1"
"2","DMB-1.1.1-adapte-persona-problem-metrics","Adapte persona/métriques à un autre contexte (segment ou contrainte) avec justification.","2","N2","DMB-1.1.U1"
"3","DMB-1.1.1-transpose-persona-problem-metrics","Intègre persona + problème + métriques dans un mini-projet fil rouge et montre leur impact fonctionnel.","2","N3","DMB-1.1.U1"
"4","DMB-1.1.2-imite-stories","Rédige 5–8 user stories INVEST avec ≥1 scénario GWT chacune d’après un exemple fourni.","2","N2","DMB-1.1.U2"
"5","DMB-1.1.2-adapte-backlog","Priorise un backlog MVP avec MoSCoW et réordonne les stories selon dépendances/risques.","2","N2","DMB-1.1.U2"
"6","DMB-1.1.2-transpose-backlog","Aligne stories et backlog sur un cas réel et justifie l’ordre d’implémentation dans le projet.","2","N3","DMB-1.1.U2"
"7","DMB-1.1.3-imite-uc","Identifie les acteurs et produit 3 cas d’utilisation centraux (scénario nominal).","2","N2","DMB-1.1.U3"
"8","DMB-1.1.3-adapte-tracabilite","Construit une matrice stories↔UC↔écrans et l’adapte à une variation de périmètre.","2","N2","DMB-1.1.U3"
"9","DMB-1.1.3-transpose-uc","Applique UC + matrice à un projet concret et prouve la couverture du MVP.","2","N3","DMB-1.1.U3"
"10","DMB-1.2.1-imite-architecture-info","Liste les écrans MVP et schématise un parcours nominal entre eux.","2","N2","DMB-1.2.U1"
"11","DMB-1.2.1-adapte-navigation","Adapte navigation (variantes, gardes/états) selon contexte mobile/web.","2","N2","DMB-1.2.U1"
"12","DMB-1.2.1-transpose-navigation","Produit un schéma d’architecture info relié au backlog/UC du projet.","2","N3","DMB-1.2.U1"
"13","DMB-1.2.2-imite-wireframes-style","Produit des wireframes low→mid + palette/style v1 (typo, grille, composants).","2","N2","DMB-1.2.U2"
"14","DMB-1.2.2-adapte-wireframes","Ajuste wireframes/style selon contraintes (contenu, accessibilité, densité).","2","N2","DMB-1.2.U2"
"15","DMB-1.2.2-transpose-wireframes","Relie style v1 au projet (guidelines réutilisables + prototype cliquable).","2","N3","DMB-1.2.U2"
"16","DMB-1.2.3-imite-diagramme","Esquisse 4–6 classes métier avec attributs/associations de base.","2","N2","DMB-1.2.U3"
"17","DMB-1.2.3-adapte-diagramme","Adapte relations/contraintes selon nouvelles stories ou règles métier.","2","N2","DMB-1.2.U3"
"18","DMB-1.2.3-transpose-diagramme","Relie diagramme de classes au périmètre MVP et prépare les données pour schéma/API.","2","N3","DMB-1.2.U3"
"1","DMB-2.1.1-imite-migrations","Crée les tables avec PK/FK/contraintes et exécute migrations/seeders d’après un modèle.","2","N2","DMB-2.1.U1"
"2","DMB-2.1.1-adapte-migrations","Adapte types/noms/contraintes et l’ordre des migrations selon un changement de périmètre.","2","N2","DMB-2.1.U1"
"3","DMB-2.1.1-transpose-migrations","Intègre un set complet de migrations + DatabaseSeeder reproductible au projet fil rouge.","2","N3","DMB-2.1.U1"
"4","DMB-2.1.2-imite-crud","Met en place un CRUD complet (routes, contrôleur resource, vues minimales, pagination).","2","N2","DMB-2.1.U2"
"5","DMB-2.1.2-adapte-relations","Implémente relations 1-n & n-n (attach/detach/sync) et adapte la validation côté formulaires.","2","N2","DMB-2.1.U2"
